,Unnamed: 0,Unnamed: 0.1,City,State,Shape,Sight_Date,Sight_Time,Sight_Weekday,Sight_Day,Sight_Month,Date
2804,2804,2804,Phoenix,AZ,Disk,6/12/99,02:30,Sábado,12,6,1999-06-12
3253,3253,3253,Phoenix,AZ,Changing,11/12/01,23:33,Segunda-feira,12,11,2001-11-12
3443,3443,3443,Phoenix,AZ,Cigar,5/31/03,13:00,Sábado,31,5,2003-05-31
3812,3812,3812,Phoenix,AZ,Light,2/21/05,18:00,Segunda-feira,21,2,2005-02-21
3820,3820,3820,Phoenix,AZ,Light,3/20/05,03:30,Domingo,20,3,2005-03-20
3940,3940,3940,Phoenix,AZ,Light,6/8/05,22:00,Quarta-feira,8,6,2005-06-08
4079,4079,4079,Phoenix,OR,Cigar,10/15/05,13:10,Sábado,15,10,2005-10-15
4153,4153,4153,Phoenix,AZ,Other,12/10/05,18:00,Sábado,10,12,2005-12-10
4258,4258,4258,Phoenix,AZ,Other,4/30/06,00:11,Domingo,30,4,2006-04-30
4499,4499,4499,Phoenix,AZ,Fireball,5/21/06,03:30,Domingo,21,5,2006-05-21
4819,4819,4819,Phoenix,AZ,Sphere,6/6/06,21:00,Terça-feira,6,6,2006-06-06
4790,4790,4790,Phoenix,AZ,Other,6/11/06,17:30,Domingo,11,6,2006-06-11
4697,4697,4697,Phoenix,AZ,Other,6/23/06,11:00,Sexta-feira,23,6,2006-06-23
5092,5092,5092,Phoenix,AZ,Circle,7/10/06,22:00,Segunda-feira,10,7,2006-07-10
4930,4930,4930,Phoenix,AZ,Cigar,7/26/06,12:30,Quarta-feira,26,7,2006-07-26
5454,5454,5454,Phoenix,AZ,Triangle,8/1/06,02:45,Terça-feira,1,8,2006-08-01
5400,5400,5400,Phoenix,AZ,Formation,8/6/06,20:00,Domingo,6,8,2006-08-06
5333,5333,5333,Phoenix,AZ,Circle,8/14/06,15:45,Segunda-feira,14,8,2006-08-14
5580,5580,5580,Phoenix,AZ,Light,9/14/06,20:15,Quinta-feira,14,9,2006-09-14
5887,5887,5887,Phoenix,AZ,Other,10/6/06,17:00,Sexta-feira,6,10,2006-10-06
5793,5793,5793,Phoenix,AZ,Light,10/17/06,19:15,Terça-feira,17,10,2006-10-17
5716,5716,5716,Phoenix,AZ,Triangle,10/27/06,20:11,Sexta-feira,27,10,2006-10-27
6169,6169,6169,Phoenix,AZ,Light,11/14/06,19:40,Terça-feira,14,11,2006-11-14
6148,6148,6148,Phoenix,AZ,Rectangle,11/16/06,21:50,Quinta-feira,16,11,2006-11-16
6132,6132,6132,Phoenix,AZ,Sphere,11/18/06,15:10,Sábado,18,11,2006-11-18
6119,6119,6119,Phoenix,AZ,Sphere,11/19/06,13:15,Domingo,19,11,2006-11-19
6062,6062,6062,Phoenix,AZ,Rectangle,11/24/06,21:30,Sexta-feira,24,11,2006-11-24
6494,6494,6494,Phoenix,AZ,Formation,12/6/06,20:58,Quarta-feira,6,12,2006-12-06
6496,6496,6496,Phoenix,AZ,Triangle,12/6/06,20:00,Quarta-feira,6,12,2006-12-06
6783,6783,6783,Phoenix,AZ,Changing,1/6/07,01:01,Sábado,6,1,2007-01-06
7024,7024,7024,Phoenix,AZ,Formation,2/6/07,21:00,Terça-feira,6,2,2007-02-06
7031,7031,7031,Phoenix,AZ,Circle,2/6/07,20:00,Terça-feira,6,2,2007-02-06
6982,6982,6982,Phoenix,AZ,Other,2/14/07,00:30,Quarta-feira,14,2,2007-02-14
7178,7178,7178,Phoenix,AZ,Light,3/16/07,22:30,Sexta-feira,16,3,2007-03-16
